Erdos728FactorialDivisibility	SKIP
FibonacciIdentitiesOQ04OQ03	PASS
FibonacciIdentitiesOQ05	PASS
FibonacciIdentitiesOQ05OQ01	PASS
FibonacciIdentitiesOQ05OQ01OQ02	PASS
FibonacciIdentitiesOQ05OQ02	PASS
FibonacciIdentitiesOQ05OQ03	PASS
FibonacciIdentitiesOQ06	PASS
FibonacciIdentitiesOQ06OQ01	PASS
FibonacciIdentitiesOQ06OQ01OQ02	PASS
FibonacciIdentitiesOQ06OQ01OQ03	PASS
FibonacciIdentitiesOQ07	PASS
FibonacciIdentitiesOQ07OQ01	PASS
FibonacciIdentitiesOQ08	PASS
FibonacciIdentitiesOQ08OQ01	PASS
FiveColorTheorem	FAIL
FodorPressingDown	PASS
FourColorTheorem	FAIL
FourColorTheoremOQ01	FAIL
FourColorTheoremOQ02	FAIL
FourSquareDistribution	PASS
FourSquareDistributionOQ01	FAIL
FourSquareDistributionOQ01OQ01	PASS
FourSquareDistributionOQ02	PASS
FourSquareDistributionOQ04	PASS
FourSquareDistributionOQ04Arrange	FAIL
FourSquareDistributionOQ04ArrangeFinal	PASS
FourSquareDistributionOQ04ArrangeProof	FAIL
FourSquareDistributionOQ04Bridge	FAIL
FourSquareDistributionOQ04Decomp	FAIL
FourSquareDistributionOQ04Keystone	FAIL
FourSquareDistributionOQ04M8	PASS
FourSquareDistributionOQ04Sign	PASS
FourSquareDistributionOQ04Surj	PASS
FourSquareDistributionOQ05	PASS
FourSquareDistributionOQ06	PASS
FourSquareDistributionOQ06OQ01	PASS
FourSquareDistributionOQ06OQ02	PASS
FourSquareDistributionOQ06OQ03	PASS
FourSquareDistributionOQ07	PASS
FourSquareRepresentations	PASS
FourierDivergenceLebesgueReduction	PASS
FourierDivergenceResonance	PASS
FourierSeries	PASS
FourierSeriesOQ01	FAIL
FourierSeriesOQ02	FAIL
FourierSeriesOQ02Incomplete01	FAIL
FourierSeriesOQ02Incomplete01Aristotle	PASS
FourierSeriesOQ02OQ01	PASS
FourierSeriesOQ02OQ02	FAIL
FourierSeriesOQ02OQ03	FAIL
FourierSeriesOQ02OQ03OQ02	FAIL
FourierSeriesOQ02OQ03OQ02Aristotle	PASS
FourierSeriesOQ02OQ03WIP01	FAIL
FourierSeriesOQ02OQ04	FAIL
FourierSeriesOQ03	PASS
FourierSeriesOQ04	FAIL
FourierSeriesOQ04OQ01	FAIL
FourierSeriesOQ04OQ01Incomplete01	FAIL
FourierSeriesOQ04WIP01	PASS
FourierSeriesOQ04WIP01OQ01	PASS
FourthRoot2Degree4	PASS
FourthRoot2Degree4OQ02	FAIL
FourthRoot2Degree4OQ02OQ01	PASS
FourthRoot2GaloisClosure	FAIL
FourthRoot2GaloisClosureOQ03	FAIL
FourthRoot2IrrationalOQ02	PASS
FourthRoot2SplittingFieldOQ01	FAIL
FriendshipTheorem	FAIL
FriendshipTheoremOQ01	FAIL
FriendshipTheoremOQ01OQ01	PASS
FriendshipTheoremOQ01OQ02	FAIL
FriendshipTheoremOQ02	PASS
FriendshipTheoremOQ03	FAIL
FriendshipTheoremOQ04	FAIL
FriendshipTheoremOQ04Amalgam	FAIL
FriendshipTheoremOQ04Universal	FAIL
FrobeniusEndomorphismOQ01	PASS
FrobeniusEndomorphismOQ01OQ01	PASS
FrobeniusEndomorphismOQ01OQ02	PASS
FrobeniusEndomorphismOQ01OQ02OQ02	PASS
FrobeniusEndomorphismOQ01OQ03	PASS
FrobeniusEndomorphismOQ02	PASS
FrobeniusEndomorphismOQ02OQ01	PASS
FrobeniusEndomorphismOQ02OQ01OQ01	PASS
FrobeniusEndomorphismOQ02OQ01OQ01OQ02	PASS
FrobeniusNumber	FAIL
FrobeniusNumberOQ01	FAIL
FrobeniusNumberOQ01OQ01	PASS
FrobeniusNumberOQ01OQ03	FAIL
FrobeniusNumberOQ01OQ03OQ01	FAIL
FrobeniusNumberOQ01OQ04	FAIL
FrobeniusNumberOQ02	FAIL
FrobeniusNumberOQ02OQ01	FAIL
FrobeniusNumberOQ02OQ02	FAIL
FrobeniusNumberOQ02OQ02Hypersurface	PASS
FrobeniusNumberOQ03	FAIL
FrobeniusNumberOQ04	PASS
FundamentalArithmetic	FAIL
FundamentalArithmeticOQ01	FAIL
FundamentalArithmeticOQ01OQ01	PASS
FundamentalArithmeticOQ02	FAIL
FundamentalArithmeticOQ03	PASS
FundamentalTheoremAlgebra	FAIL
FundamentalTheoremAlgebraOQ01	PASS
FundamentalTheoremAlgebraOQ02	PASS
FundamentalTheoremAlgebraOQ04	PASS
FundamentalTheoremAlgebraOQ04OQ03	PASS
FundamentalTheoremAlgebraOQ04OQ03OQ01	PASS
FundamentalTheoremAlgebraOQ04OQ03OQ01OQ01	FAIL
FundamentalTheoremAlgebraOQ04OQ03OQ01OQ02	FAIL
FundamentalTheoremAlgebraOQ04OQ04	FAIL
FundamentalTheoremAlgebraOQ06	PASS
FundamentalTheoremAlgebraOQ06OQ01	PASS
FundamentalTheoremCalculus	FAIL
FundamentalTheoremCalculusLebesgue	PASS
FundamentalTheoremCalculusLebesgueOQ01	PASS
FundamentalTheoremCalculusLebesgueOQ04	FAIL
FundamentalTheoremCalculusOQ04	FAIL
FundamentalTheoremCalculusStokes	FAIL
FundamentalTheoremCalculusStokesAristotle	FAIL
FurstenbergCorrespondence	FAIL
FurstenbergCorrespondenceOQ01	FAIL
