orbit_index	status	exit_code	conflicts	decisions	propagations
0	UNKNOWN	0	802	83092	53893828
1	UNKNOWN	0	797	83233	56035029
2	UNKNOWN	0	871	80523	54271009
3	UNKNOWN	0	900	82268	53538620
4	UNKNOWN	0	829	83671	53009135
5	UNKNOWN	0	962	76634	54046179
6	UNKNOWN	0	767	84324	56110785
7	UNKNOWN	0	738	79435	52769036
8	UNKNOWN	0	869	75321	55193157
9	UNKNOWN	0	744	83554	53165585
10	UNKNOWN	0	917	82459	53437492
11	UNKNOWN	0	880	84524	55067045
12	UNKNOWN	0	1874	62153	49443010
13	UNKNOWN	0	784	89367	53494817
14	UNKNOWN	0	768	80858	53112088
15	UNKNOWN	0	823	76205	54633221
16	UNKNOWN	0	830	74279	53446084
17	UNKNOWN	0	2002	52421	50357491
18	UNKNOWN	0	996	79428	56027649
19	UNKNOWN	0	758	77525	53816892
20	UNKNOWN	0	651	77997	53486945
21	UNKNOWN	0	864	85617	56510478
22	UNKNOWN	0	877	76249	52174377
23	UNKNOWN	0	832	78740	53855759
24	UNKNOWN	0	782	70157	52791222
25	UNKNOWN	0	785	80702	51449297
26	UNKNOWN	0	870	78629	52726278
27	UNKNOWN	0	876	73835	51097846
28	UNKNOWN	0	880	75555	52278786
29	UNKNOWN	0	725	80323	52597719
30	UNKNOWN	0	935	76886	52764869
31	UNKNOWN	0	893	72221	52338917
32	UNKNOWN	0	1143	68805	51364024
33	UNKNOWN	0	917	79788	54180511
34	UNKNOWN	0	760	71032	52610417
35	UNKNOWN	0	818	73843	55033860
36	UNKNOWN	0	1024	73214	53285764
37	UNKNOWN	0	944	78617	54943505
38	UNKNOWN	0	948	75371	54639146
39	UNKNOWN	0	837	85445	55332414
40	UNKNOWN	0	791	80598	53324888
41	UNKNOWN	0	857	82716	53395424
42	UNKNOWN	0	829	77697	53309237
43	UNKNOWN	0	798	84906	53277589
44	UNKNOWN	0	881	81570	55362418
45	UNKNOWN	0	1000	75410	53573491
46	UNKNOWN	0	994	66919	55337710
47	UNKNOWN	0	807	86937	56300616
48	UNKNOWN	0	806	80043	54510504
49	UNKNOWN	0	760	78260	51909137
50	UNKNOWN	0	872	82254	54652510
51	UNKNOWN	0	1342	72545	52330093
52	UNKNOWN	0	965	81172	55935842
53	UNKNOWN	0	1310	73495	53580132
54	UNKNOWN	0	966	87115	59560540
55	UNKNOWN	0	746	90092	57294573
56	UNKNOWN	0	987	87932	56259610
57	UNKNOWN	0	861	76432	53264303
58	UNKNOWN	0	889	74343	55033887
59	UNKNOWN	0	869	79858	55386549
60	UNKNOWN	0	1091	76034	54705212
61	UNKNOWN	0	872	77368	56721216
62	UNKNOWN	0	725	78424	52681280
63	UNKNOWN	0	802	90849	58391951
64	UNKNOWN	0	1000	80556	57601920
65	UNKNOWN	0	951	88682	60724668
66	UNKNOWN	0	834	82337	53531808
67	UNKNOWN	0	781	79807	53851033
68	UNKNOWN	0	975	75439	53742260
69	UNKNOWN	0	799	72289	51479586
70	UNKNOWN	0	687	78058	52503634
71	UNKNOWN	0	841	78600	56765402
72	UNKNOWN	0	723	76618	52884254
73	UNKNOWN	0	1002	71744	54019803
74	UNKNOWN	0	898	76691	55385006
75	UNKNOWN	0	874	84714	55176135
76	UNKNOWN	0	729	78429	51892904
77	UNKNOWN	0	1124	72688	53891808
