orbit_index	status	exit_code	conflicts	decisions	propagations
0	UNKNOWN	0	7214	148417	71431162
1	UNKNOWN	0	7159	150251	70004252
2	UNKNOWN	0	7549	133626	70584471
3	UNKNOWN	0	7102	138726	73461857
4	UNKNOWN	0	5668	120363	70245099
5	UNKNOWN	0	5357	119754	70305323
6	UNKNOWN	0	7645	116313	71619832
7	UNKNOWN	0	7578	128996	72164023
8	UNKNOWN	0	6344	139004	70612331
9	UNKNOWN	0	6831	159230	71194240
10	UNKNOWN	0	8048	115872	71130695
11	UNKNOWN	0	5747	137802	68348115
12	UNKNOWN	0	8384	158301	74313345
13	UNKNOWN	0	6651	142509	74788034
14	UNKNOWN	0	7435	141313	76598580
15	UNKNOWN	0	6567	127750	75501256
16	UNKNOWN	0	7460	116204	73538792
17	UNKNOWN	0	6522	134247	70631020
18	UNKNOWN	0	6756	137552	71412016
19	UNKNOWN	0	6710	139631	74130681
20	UNKNOWN	0	6267	117432	78658121
21	UNKNOWN	0	5920	97961	76045518
22	UNKNOWN	0	6936	133695	74085698
23	UNKNOWN	0	6098	132497	75502281
24	UNKNOWN	0	5697	114325	73246355
25	UNKNOWN	0	6399	136618	76280527
26	UNKNOWN	0	5762	152032	72592915
27	UNKNOWN	0	8934	79759	70044129
28	UNKNOWN	0	8928	114370	69786310
29	UNKNOWN	0	6622	115422	71402808
30	UNKNOWN	0	6377	129648	74232129
31	UNKNOWN	0	6319	108356	74750381
32	UNKNOWN	0	6006	107438	73356185
33	UNKNOWN	0	7177	164879	70713290
34	UNKNOWN	0	6893	129708	72389712
35	UNKNOWN	0	8153	108672	72196515
36	UNKNOWN	0	8918	131092	67386583
37	UNKNOWN	0	7486	135327	72143670
38	UNKNOWN	0	7708	146455	71844958
39	UNKNOWN	0	5793	134621	75645731
40	UNKNOWN	0	6154	114718	77641104
41	UNKNOWN	0	5449	103400	70597911
42	UNKNOWN	0	7179	151039	69781129
43	UNKNOWN	0	7265	132736	70936790
44	UNKNOWN	0	5560	119201	74739218
45	UNKNOWN	0	4930	90413	76195306
46	UNKNOWN	0	7155	121374	74282311
47	UNKNOWN	0	6396	127590	74625689
48	UNKNOWN	0	5726	141531	72380715
49	UNKNOWN	0	7315	131332	75152098
50	UNKNOWN	0	6975	142701	77840905
51	UNKNOWN	0	6433	129305	73089769
52	UNKNOWN	0	7730	118279	83822195
53	UNKNOWN	0	8081	137505	76959132
54	UNKNOWN	0	6504	122780	76639324
55	UNKNOWN	0	7148	114410	74114882
56	UNKNOWN	0	6803	120461	71529482
57	UNKNOWN	0	5633	127669	73344083
58	UNKNOWN	0	6453	130590	73016846
59	UNKNOWN	0	6171	120432	74771022
60	UNKNOWN	0	5169	133686	70871505
61	UNKNOWN	0	6097	122720	75796417
62	UNKNOWN	0	6393	115052	78731310
63	UNKNOWN	0	6413	122580	78479342
64	UNKNOWN	0	7441	127853	78495747
65	UNKNOWN	0	6816	132214	72118854
66	UNKNOWN	0	5900	109555	73522035
67	UNKNOWN	0	8305	118857	73385946
68	UNKNOWN	0	8237	123038	73212555
69	UNKNOWN	0	6818	139204	72993056
70	UNKNOWN	0	7463	137481	74561344
71	UNKNOWN	0	6438	106916	70754046
72	UNKNOWN	0	8384	115865	75026893
73	UNKNOWN	0	5136	117579	75570279
74	UNKNOWN	0	8899	118653	71476941
75	UNKNOWN	0	7074	121232	74069740
76	UNKNOWN	0	7720	114808	92289983
77	UNKNOWN	0	8890	157385	85642800
