tag	ts	p	i	upload	trim	node	compact_bytes	compact_gz_sha256
09a23a36fad47520	2026-09-08T15:22:52Z	1	137	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	20166935658	d15f28582ddea0f2317f43c8d80d4e04b62cefd861ce8bce3deab46d165b8d38
0a5acff54f93af2e	2026-09-07T03:50:55Z	2	56	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	21962666507	71960df33b0c3f0c7d2114c1294a0cfdf98fd38060a2b1e66cb0a4a4f58034b2
0b455043f14871f7	2026-09-06T16:11:32Z	3	119	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
0bb87e3cbed39f14	2026-09-06T12:31:55Z	2	69	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
0c8e11d7857fc041	2026-09-06T16:15:07Z	3	131	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
0cbcd5967689a3d5	2026-09-07T20:53:28Z	1	173	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
12b393308882cd98	2026-09-06T16:37:46Z	2	116	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
18677b9411d87875	2026-09-06T19:18:57Z	2	143	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
1c02b4caf564b4a9	2026-09-06T16:05:21Z	2	164	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
1e946f8f3b6ffa06	2026-09-08T09:43:39Z	2	190	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	20248310398	a693a1a6b2b8d456b63816d8cb25e5edb18e5ea965051c0d261991ec0ac60598
21835871e6144e95	2026-09-08T15:28:39Z	1	466	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	21145397393	a084a37dbee3b1963d304a9a767236185ca8a0c4b407013676932c2b79bbbe02
289477cc51203ffd	2026-09-06T20:23:54Z	3	432	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
329b85b7cdf2ab94	2026-09-08T11:44:09Z	1	679	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	25692630730	d98a80027ddef85659e2a344e5fa3fb24de2c4fb199d3f1f74d310308b443ff5
35958b08961b7cfc	2026-09-08T18:21:46Z	2	355	UPLOAD-FAIL	VERIFIED	i-01f0d952483d8f066	18460238642	aab9f5905bb0efc688cd9466c78333d0d3b8ac5bd49606384461e52dae79d7e8
38948a3d665b5896	2026-09-06T12:49:04Z	0	180	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
3de5f9e7f1d255e7	2026-09-08T09:41:55Z	2	719	UPLOAD-FAIL	VERIFIED	i-01f0d952483d8f066	18856704728	39459e5242be53008ea1dba279e9dd3008a6ab0bb7a872b94c3d6209c3291916
4ed50fad4b613045	2026-09-09T03:24:18Z	2	924	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	19022490342	f0e7192e90ecb434f29172ff3b97838160c01462e2c9e53c4f828b5e995eebd7
517ba64429434d32	2026-09-06T23:57:12Z	0	191	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
59b38d317ba10da8	2026-09-08T16:55:15Z	3	952	UPLOAD-FAIL	VERIFIED	i-01f0d952483d8f066	18894213898	2d9eec195275894bd86c9e1192470914562c3700ba7479b2640f8a42e985759a
5a173ed5eeaf7c05	2026-09-06T19:14:52Z	1	1211	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
60b3d72bcc859b05	2026-09-06T15:39:52Z	3	1035	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
6b29a970f356c68b	2026-09-07T10:53:58Z	1	1426	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	19013386217	1062a377d12c83e5239593b6498439a0031a270755dc35a00c822edadf5996c1
6c5673025eb5a43d	2026-09-06T19:26:49Z	0	361	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
6d84ab17c29f5b87	2026-09-07T21:23:34Z	3	1179	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
705d62c3af203bd8	2026-09-07T20:02:13Z	3	1213	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	21012869637	5c31936ea6ffda33c7df1d1e64fdb5bf71be89adca9ddbb1ee1b19cb9c718c14
74ce76acad2f4cf4	2026-09-09T17:39:44Z	2	746	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	23005778955	6aab76978ab7ed6a9512807f8587c6143350be1681b9fab45551ed691b4d4b69
74fcc09b1b23a104	2026-09-09T20:47:26Z	0	393	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	20801124349	a0556a25ae9a67b100972a2252caa69fbaa54cf6e73db694bac15bbbaed11492
75b3c23623dcf9bf	2026-09-09T13:21:22Z	2	754	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	26521722365	63444cec6f90f84393a88e4e10c73532fdb8b3d79ed2cebe31211cc8aad3f07c
7b9bfc06161540e0	2026-09-06T22:22:04Z	1	1669	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
81f8be66d5233a0e	2026-09-07T06:22:16Z	0	435	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
867892f60d9bf313	2026-09-07T05:17:59Z	1	1837	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
89b6e903200ef01d	2026-09-06T15:26:34Z	2	1662	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
9a5b6799a662168b	2026-09-07T14:53:44Z	2	1868	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	19970852041	16370b54cdc09aa37578ea62602c18d112e194892ebd298003e9e221641f7aa4
a3acb073e40780d2	2026-09-06T19:11:48Z	2	1987	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
acf84391e5ce7a1f	2026-09-06T18:54:14Z	3	1834	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
ad21e2dd20a6a5d2	2026-09-07T05:00:37Z	1	2395	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
