tag	ts	p	i	verdict	rc	upload	trim	node	compact_gz_sha256
00ba2218819c2347	2026-09-09T02:55:27Z	3	4	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	f3c021c01c9d385dde84a15080c8179da98e64ffb981e4b283573c44a7b04567
0101efb9e718e8b5	2026-09-06T22:00:54Z	3	6	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	69a165aec7b856fb633d81513b8d83961b2b4f317e41777ad71862cf5f0dbf2a
01d201a3c8f81791	2026-09-08T14:20:52Z	2	27	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	adee939fec5fe2d4881526978086d6f434d5fdef5448fefee90280760c525a39
0223c8100342cc28	2026-09-06T22:58:51Z	4	1	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	b54c4c1495452c041abce780487e7e377f3eafca3862fe59ea93d12025514978
02d245ff59891e4c	2026-09-07T04:07:37Z	2	42	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	64846a09abd22c8c1d6bcadc07ecaa397cf924ee54572271364568350aae4ccc
04055f435cbc1c2e	2026-09-08T14:54:30Z	2	20	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	1b2971acc06ab03b0a03819d6015cdace6dcd99a57a2f1c92744bc5042df91c1
0420ebf028aa9d6f	2026-09-08T19:52:46Z	3	34	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	4871a5f60fa85d47afc8dc1a4f394cbc901d0f8a4dd78ff40700086de190647f
0432e4eeb1544b3a	2026-09-07T12:50:18Z	2	60	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	98f8b8d31c58e03a2f30bcd3f77df5588d8b27638e10438a3e1a48810a6ec178
04acf555e6d6dbb0	2026-09-06T18:43:29Z	1	59	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	52caf4ea105bc9d52cb16f7274201e8f36c714a6225cf6db528fad3e82de7028
04e33b8b008d1fee	2026-09-09T19:46:12Z	0	14	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	5ced30ba968668d4137e2681ad6eba6e504e9080ba1a6831b95b98554dadfe34
050e4d3a9cfa8f3a	2026-09-08T00:25:33Z	1	63	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	6cf3fdaebe6d4096fe8331f6439fa5ced7946c93e39a70ae99335e8dbb1b6ac3
05cb72e6408409ef	2026-09-09T01:56:56Z	2	79	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	2b104dbbf10a25ab48270dd71aca47114c7b0270232d9dac71498742aa56b2ba
05e2af8dcce22051	2026-09-06T19:09:24Z	2	80	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	76dc5f767d00877c7ba1afe5943843ec37022c7da7728c24ef1ba7fd8d0bc15b
05fb58825577f99d	2026-09-06T22:52:58Z	2	81	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	4b6574ad424f3dba7022af7cef8d7395d6d36be9beb7d50e359cb73835080f11
0618505118203ce6	2026-09-08T00:33:32Z	3	61	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	8a8308d702d56ccb95c88eeff188c486b5fecb7381ed12bcc9529d341b12c562
0725093ae03f16f6	2026-09-08T00:12:03Z	2	96	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	ed58a56647245a70624f51e7d2b053f1855d39efd83eca3916a1db42a48fdde6
07337171fe784739	2026-09-08T13:10:48Z	4	7	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	2f86e27d249ecf1d64335bc5204de559c05bb19daee6adf79739ca76ffb63b60
0750f3f90876d60e	2026-09-08T11:06:38Z	0	23	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	487478470985d8935163216e91b0933e26c5277cf770af491f4281e1f242772c
075915e437f29094	2026-09-09T18:59:12Z	2	98	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	8b14e0f80c488c35a31b13b02eca47a5881a3c0a720a91ffae6985d5b55262b2
084c29173fab404a	2026-09-06T12:41:23Z	2	45	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	3eb8491dd605a1d8873af47a5f91f91c781eed62b45180452cc40599f7be231e
087592644efc94cb	2026-09-07T06:35:00Z	3	87	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	5a0dd0ddffd526100a5f97f0deaa80ab741d83dbaa01cbc4953ac30286202ca8
08de10d1cfafe597	2026-09-08T16:37:48Z	2	124	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	80291ec557473ab379f015df326d1a68b2b723dc78f217f332d9a9bc19760b05
09fcb7723cda4d0c	2026-09-07T06:29:23Z	3	104	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	8325ac4dd55bfbc97cbba957634eefad615211b3dfae19a86d1a534527b325bb
0a4a415d12b008a1	2026-09-07T18:06:02Z	1	145	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	3dd67b2084508101e2b92b3c1a0dbdb66f7de445bfa2b9d0ff8d267551aff1ed
0acf01a66181c16b	2026-09-07T16:36:01Z	2	151	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	b230d8b04bdc2720ae54c68220672e2e4b29619d2f3c1be7d951b97377974377
0ad0118cbe9fa19e	2026-09-07T13:40:44Z	3	114	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	18c38ae549c54ce18979f55cd72ac2dba31fcbe3dba2745234c6c37109ea6a3c
0b2cdbce85378546	2026-09-08T09:10:32Z	2	65	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	9261605cec391a7086917da60fb589c95c9ce0cad995208e4a2d2df4fc63110f
0b32c0ad0df9dc5d	2026-09-08T21:06:28Z	3	116	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	7115013ee9c7c09ed972478d8c5246914aea5937f3cffd00dce1cc9218b1f098
0bb75b1f999bf308	2026-09-08T22:36:03Z	3	126	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	616781695da65b216f7a7b56c16bb9f365bb61c222045e16ff1501a6b69cb00c
0beed1cd4f788c58	2026-09-08T11:16:08Z	2	70	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	4a7352762e9ab32a4f37cb472a30dfc9e87989e824f26c287ae674ff1a30e4eb
0bff873b525e9d4a	2026-09-07T18:28:38Z	2	72	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	5c2e23fb4198bb6d86872fce1d0af4f51781fb39635b8a52bcc4ccc60b5d3958
0c3dd15c76839335	2026-09-08T06:54:47Z	2	169	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	c4e92db312c924492f3a51ecac9e8f3c03f24d96ab6204586c528d5db467433b
0d514bea71fe1be0	2026-09-07T04:08:38Z	1	180	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	bd6a74686dafe10d7cfe9db3be9f8b18bb6fcd9b4098002cd700c9a7e0860b9d
0d78c128e8635fe8	2026-09-07T11:18:09Z	4	13	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	3c794f59dcfbcb83cd42b4409ccb095fa1da1ef5aacd9b285f9e87f9957f8c0a
0da907e060124ccb	2026-09-07T09:44:52Z	2	184	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	2ce648c3148989caab0d18bafaf32366fb471bf8c805770b35685feb3bef3d85
0df527fed1b0ac29	2026-09-07T07:40:35Z	1	195	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	9de5e96d607d35f022b1f1844988b4445de028cbda551fabd40a131f284a7a06
0e16acf9625da49e	2026-09-06T14:05:52Z	1	198	UNKNOWN	0	-	-	i-01f0d952483d8f066	-
0edb7674d9430baa	2026-09-07T17:34:38Z	3	166	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	795ac7f9dc964650c266a067e99493d6cb65c32b9343acaaecac6272457e77f5
0f46f805572eee66	2026-09-08T07:23:22Z	0	47	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	d46fbb3428f4eda7661b241a43da0ad8db267f2de38a2dbdfdea406919f9fc67
1069d20f657b20c6	2026-09-06T17:17:29Z	3	174	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	2eb9f9d102410ffa946e8c21fe10d809844b01ccf05c955916eaf6a22c28be24
107351478f046890	2026-09-06T18:58:08Z	2	217	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	3c5a5ef0c3c3bd39b6d2330b1b5bb733fe9bf50589930b653035d95754fe0acb
111a8b30527598ab	2026-09-08T16:48:32Z	4	33	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	3d9d7ea40675992a18a28937592a7c0d7610451196c48b895bb18527f5e885b6
112c07799adea61f	2026-09-07T16:10:45Z	1	241	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	b69d3f0b33afdef62db4dcd85d94bf7396c483078b20bc4a267bcdcfe42896f1
1172d08c5f2fe995	2026-09-08T12:15:41Z	2	106	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	f9cbf4d862f82ea9720e98b37c9881d0903686195ae7c1e5ce26f749a1bf5617
1208771f33e598f8	2026-09-07T12:09:15Z	3	193	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	69696c1586be9408e3ed5b2320bbb038bfff1d87aca5c1a470923bbe9457abe4
123e28704e71d6ca	2026-09-07T04:17:32Z	4	19	UNSAT	20	uploaded	VERIFIED	i-0ccf0dc6a398156d8	b44fdc60042e09a54ea8ef77614e4ddf9647bdb41f57b9e7dcbffaff554d7447
130555942d5199c5	2026-09-07T21:43:37Z	2	120	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	8605e0a5f211a87e35d3470d20b841c1727013d79b4e76e50bb0d237253999ea
13a503e2cfd87e2c	2026-09-07T23:31:53Z	1	278	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	2e4ed066cc5e62434316ed045c8d9a250063eb33e08717a4b8395fbe0b513334
13c9dd852e61abde	2026-09-08T00:37:19Z	2	251	UNSAT	20	uploaded	VERIFIED	i-01f0d952483d8f066	d38d731cb642ce6e5508852d0c0241c649dc5e536bad37c9233c6fab77010c9e
