{'core': 213, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 22057}
{'core': 234, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 4058}
{'core': 107, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 6}
{'core': 144, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 5, 'nodes': 667}
{'core': 228, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 7153}
{'core': 24, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 259}
{'core': 32, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 6}
{'core': 89, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 17}
{'core': 111, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 1076}
{'core': 118, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 6566}
{'core': 121, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 205}
{'core': 196, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 404}
{'core': 197, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 316}
{'core': 218, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 3039}
{'core': 233, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 3254}
{'core': 166, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 7, 'nodes': 1004}
{'core': 226, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 585}
{'core': 37, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 132}
{'core': 87, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 276}
{'core': 117, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 56}
{'core': 168, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 327}
{'core': 174, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 46}
{'core': 224, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 4014}
{'core': 225, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 17852}
{'core': 106, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 49}
{'core': 214, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 3284}
{'core': 215, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 11061}
{'core': 216, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 1478}
{'core': 217, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 2668}
{'core': 22, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 72}
{'core': 33, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 13, 'nodes': 1258}
{'core': 81, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 5, 'nodes': 30}
{'core': 116, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 11, 'nodes': 385}
{'core': 18, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 823}
{'core': 78, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 85}
{'core': 110, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 645}
{'core': 163, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 30}
{'core': 203, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 11, 'nodes': 5688}
{'core': 114, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 21, 'nodes': 867}
{'core': 127, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 21, 'nodes': 569}
{'core': 9, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 40}
{'core': 12, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 83}
{'core': 57, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 87}
{'core': 90, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 110}
{'core': 157, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 24, 'nodes': 3932}
{'core': 158, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 169}
{'core': 176, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 876}
{'core': 128, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 120}
{'core': 129, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 1996}
{'core': 175, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 27, 'nodes': 226}
{'core': 179, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 2774}
