# Canonical compact H7 empty-cube receipts recovered from h7cubes.events.
# base_sha256=8bc9b8f15b7f03194f39d208b2c0015e6039e0aac759ccfce0b6415724130eb0
# id cnf_sha256 lrat_gz_sha256 lrat_gz_bytes
cube_F6_t0 4912420b85bae0433a18ab27a6666f843dd871a29e98c4f8a700d61115257ba7 1493dc9fa4657d258aac0233aec46facdd8cb9c738a2c8c191bf9644abd8996b 8484672
cube_F6_t1 527a030379e907618a3a503bb184f1bd102f1ec54000075ae5faa1e55328e9f7 96d828a8bf34f41d7722baa8d63476c499370c5c81072415da12bf2fa10659c6 11154654
cube_F6_t3 9888baa68559a7784a52f7e1fbc210f260db1d6989563d948a077e46bf08c769 87ed3e69308ac5c29a7611ba769bbc9b7288fc4685986b226fc9ae5d065d9c9d 2062676
cube_F6_t4 553a3d8730bf7c2c9747ab9baa1fe54b55582c0b25e1d654ab248033a2a7d268 878fff3721125c7a97365c571eb520b2f6d902a6c67805049a6faf3282b7af79 7844064
cube_F6_t6 7fddb9fa8b6363d93ccf6817c2ae25d7d95a1f534bd66dbfef4f1d4b2433fba1 189e4a7dc174c542a56c3ebfa214476ba881bfd03b2e89f475096d247751e637 72325337
cube_F6_t7 72e553658d8ce5ae807fdd26b064d05a407a89ff27f8b7cab48cf6279c8a9d74 979c1e1a622a84a7d4fb485f6c1966e038e2c306b562435036e4abfd184d453f 214986815
cube_F6_t9 f0860969b6e67242e05bb323e6bed0a39cc2a4a67728914b4e5f0fa872890345 1381090585c34c196d405c61511d6af3acb442e344c063806b4c08451773c3d6 4154436
cube_F6_t10 91d37589a646162a64e085ff3c7d900051a4c1a8b48c767035e5d9e2656c9295 10d0d3752596eb9103b299c6cc8bfcab4543101f9994bcd590580f37be1f752b 431818539
cube_F6_t11 176e9bd349aa60d428b6e93d5bc381b1a26d47368b998bd226e3a6f833c272ba e8b37d00162d78abd340a5a2c16d762a49030734ce88a281c5b378ac193e024d 7978987
cube_F6_t12 61c1a3e98a51fdfba8bab6cc3843abfa77cb0dad2f831feb866ab9d97392815b 9e95adb78a9a53f27f1210fd2c7072a7ad788d0b85aa987c0ab735385f8aa40e 14023973
cube_F6_t13 a22a04f0722e7f49dcb229ca8bd8d0f8983c2c5961e480deaddf22e4d58a7855 ec07e156caadd66728775b06beceb484d53e866411084d410406ff69240832cd 2136489
cube_F7_t1 a766e7f05534b19000b3a4c4196e2dd68488f1eff6dc006551ed39ff80cc0b58 78cbc535dec07648abd50c678c73e92ab9380865bfa5b8653280fd02536e3e1d 68580864
